latitude,longitude,name,desc,color,source,precision
42.244095,-71.17037,"270 Bussey St, Della Park Plaza, Dedham, MA 02026","Dedham, Norfolk County, MA, US",,MapQuest,postcode
42.490851,-72.609071,"1 Community Place, South Deerfield, MA 01373","1 Community Pl, South Deerfield, Franklin, MA, US",,MapQuest,address
42.309004,-71.082809,"468 Blue Hill Ave, Dorchester, MA 02121","468 Blue Hill Ave, Dorchester, Suffolk, MA, US",,MapQuest,address
42.295707,-71.072138,"451 Washington St, Dorchester, MA 02124","451 Washington St, Dorchester Center, Suffolk, MA, US",,MapQuest,address
42.293782,-71.084144,"70 Talbot Ave, Dorchester, MA 02124","70 Talbot Ave, Dorchester Center, Suffolk, MA, US",,MapQuest,address
42.284463,-71.04524,"757 Gallivan Blvd, Dorchester, MA 02122","757 Gallivan Blvd, Dorchester, Suffolk, MA, US",,MapQuest,address
42.671088,-71.295851,"4 Broadway Road, Dracut, MA 01826","4 Broadway Rd, Dracut, Middlesex, MA, US",,MapQuest,address
42.665254,-71.312261,"301 Pleasant Street, Dracut, MA 01826","301 Pleasant St, Dracut, Middlesex, MA, US",,MapQuest,address
42.375265,-71.039761,"210 Border Street, East Boston, MA 02128","210 Border St, Boston, Suffolk, MA, US",,MapQuest,address
42.384026,-70.999455,"1150 Saratoga Street, East Boston, MA 02128","1150 Saratoga St, Boston, Suffolk, MA, US",,MapQuest,address
41.578469,-70.558087,"419 East Falmouth Hwy., East Falmouth, MA 02536","419 E Falmouth Hwy, East Falmouth, Barnstable, MA, US",,MapQuest,address
41.617958,-70.53517,"1220 Nathan Ellis Hwy, East Falmouth, MA 02536","1220 Nathan Ellis Hwy, East Falmouth, Barnstable, MA, US",,MapQuest,address
42.078652,-72.528088,"443 North Main St, East Longmeadow, MA 01028","443 N Main St, East Longmeadow, Hampden, MA, US",,MapQuest,address
42.406147,-71.056354,"405 Broadway, Everett, MA 02149","405 Broadway, Everett, Middlesex, MA, US",,MapQuest,address
41.641227,-70.879356,"220 Huttleston Ave, Fairhaven, MA 02719","220 Huttleston Ave, Fairhaven, Bristol, MA, US",,MapQuest,address
41.723814,-71.121937,"777 Elsbree St, Fall River, MA 02720","777 Elsbree St, Fall River, Bristol, MA, US",,MapQuest,address
41.698602,-71.146329,"550 Pleasant St., Fall River, MA 02720","550 Pleasant St, Fall River, Bristol, MA, US",,MapQuest,address
